Fecha/Hora,Equipo 1,Equipo 2,Pronóstico,Marcador Predicho,Finalización,Minuto Decisivo,Probabilidad Equipo 1,Probabilidad Equipo 2,Probabilidad Prórroga
2026-06-28 12:00,Sudáfrica,Canadá,Gana Canadá,1-2,90 min,74',18.00%,64.00%,18.00%
2026-06-29 12:00,Brasil,Japón,Gana Brasil,3-1,90 min,72',67.00%,16.00%,17.00%
2026-06-29 16:30,Alemania,Paraguay,Gana Alemania,3-1,90 min,68',72.00%,11.00%,17.00%
2026-06-29 19:00,Países Bajos,Marruecos,Gana Países Bajos (Prórroga),2-1,Prórroga,108',42.00%,22.00%,36.00%
2026-06-30 12:00,Costa de Marfil,Noruega,Gana Costa de Marfil,2-1,90 min,76',50.00%,32.00%,18.00%
2026-06-30 17:00,Francia,Suecia,Gana Francia,3-1,90 min,71',76.00%,10.00%,14.00%
2026-06-30 19:00,México,Ecuador,Gana México,2-1,90 min,75',63.00%,19.00%,18.00%
2026-07-01 12:00,Inglaterra,RD Congo,Gana Inglaterra,4-0,90 min,67',83.00%,4.00%,13.00%
2026-07-01 13:00,Bélgica,Senegal,Gana Bélgica,2-0,90 min,72',62.00%,21.00%,17.00%
2026-07-01 17:00,Estados Unidos,Bosnia y Herzegovina,Gana Estados Unidos,2-1,90 min,70',63.00%,19.00%,18.00%
2026-07-02 12:00,España,Austria,Gana España,3-0,90 min,63',84.00%,4.00%,12.00%
2026-07-02 19:00,Portugal,Croacia,Gana Portugal,2-1,90 min,78',55.00%,25.00%,20.00%
2026-07-02 20:00,Suiza,Argelia,Gana Suiza,3-1,90 min,65',72.00%,11.00%,17.00%
2026-07-03 13:00,Australia,Egipto,Gana Egipto,1-2,90 min,82',33.00%,46.00%,21.00%
2026-07-03 18:00,Argentina,Cabo Verde,Gana Argentina,4-0,90 min,57',87.00%,4.00%,9.00%
2026-07-03 20:30,Colombia,Ghana,Gana Colombia,2-1,90 min,68',64.00%,20.00%,16.00%
